step,primitive,prim_step,e_norm,V,qd_raw_norm,qd_norm,proj_delta,cos_to_goal
3,transport,1,2.30522,21.25614,2.85395,2.85395,0.00000,0.94398
4,transport,2,2.30443,21.24164,2.85297,2.85297,0.00000,0.94398
5,transport,3,2.30266,21.20898,2.85129,2.85129,0.00000,0.94403
6,transport,4,2.30004,21.16083,2.84880,2.84880,0.00000,0.94409
7,transport,5,2.29662,21.09790,2.84555,2.84555,0.00000,0.94418
8,transport,6,2.29243,21.02089,2.84156,2.84156,0.00000,0.94429
9,transport,7,2.28749,20.93048,2.83687,2.83687,0.00000,0.94441
10,transport,8,2.28185,20.82733,2.83152,2.83152,0.00000,0.94455
11,transport,9,2.27553,20.71212,2.82554,2.82554,0.00000,0.94472
12,transport,10,2.26856,20.58548,2.81896,2.81896,0.00000,0.94490
13,transport,11,2.26098,20.44804,2.81182,2.81182,0.00000,0.94509
14,transport,12,2.25280,20.30042,2.80415,2.80415,0.00000,0.94531
15,transport,13,2.24406,20.14321,2.79597,2.79597,0.00000,0.94553
16,transport,14,2.23478,19.97700,2.78732,2.78732,0.00000,0.94578
17,transport,15,2.22499,19.80235,2.77823,2.77823,0.00000,0.94604
18,transport,16,2.21471,19.61981,2.76871,2.76871,0.00000,0.94631
19,transport,17,2.20397,19.42992,2.75879,2.75879,0.00000,0.94660
20,transport,18,2.19278,19.23319,2.74850,2.74850,0.00000,0.94690
21,transport,19,2.18118,19.03011,2.73785,2.73785,0.00000,0.94722
22,transport,20,2.16917,18.82116,2.72687,2.72687,0.00000,0.94755
23,transport,21,2.15678,18.60680,2.71558,2.71558,0.00000,0.94789
24,transport,22,2.14403,18.38749,2.70399,2.70399,0.00000,0.94824
25,transport,23,2.13094,18.16366,2.69213,2.69213,0.00000,0.94860
26,transport,24,2.11753,17.93572,2.68002,2.68002,0.00000,0.94897
27,transport,25,2.10381,17.70406,2.66768,2.66768,0.00000,0.94935
28,transport,26,2.08980,17.46907,2.65514,2.65514,0.00000,0.94973
29,transport,27,2.07552,17.23110,2.64243,2.64243,0.00000,0.95012
30,transport,28,2.06098,16.99052,2.62958,2.62958,0.00000,0.95052
31,transport,29,2.04619,16.74764,2.61664,2.61664,0.00000,0.95092
32,transport,30,2.03118,16.50280,2.60366,2.60366,0.00000,0.95131
33,transport,31,2.01595,16.25629,2.59069,2.59069,0.00000,0.95170
34,transport,32,2.00053,16.00842,2.57779,2.57779,0.00000,0.95208
35,transport,33,1.98491,15.75944,2.56503,2.56503,0.00000,0.95244
36,transport,34,1.96911,15.50962,2.55247,2.55247,0.00000,0.95278
37,transport,35,1.95315,15.25921,2.54017,2.54017,0.00000,0.95309
38,transport,36,1.93704,15.00845,2.52815,2.52815,0.00000,0.95337
39,transport,37,1.92078,14.75755,2.51642,2.51642,0.00000,0.95362
40,transport,38,1.90438,14.50673,2.50492,2.50492,0.00000,0.95383
41,transport,39,1.88787,14.25616,2.49358,2.49358,0.00000,0.95402
42,transport,40,1.87123,14.00606,2.48224,2.48224,0.00000,0.95419
43,transport,41,1.85449,13.75658,2.47074,2.47074,0.00000,0.95437
44,transport,42,1.83766,13.50791,2.45887,2.45887,0.00000,0.95458
45,transport,43,1.82073,13.26019,2.44644,2.44644,0.00000,0.95484
46,transport,44,1.80372,13.01357,2.43332,2.43332,0.00000,0.95517
47,transport,45,1.78663,12.76822,2.41940,2.41940,0.00000,0.95559
48,transport,46,1.76948,12.52425,2.40467,2.40467,0.00000,0.95611
49,transport,47,1.75227,12.28181,2.38916,2.38916,0.00000,0.95672
50,transport,48,1.73501,12.04102,2.37296,2.37296,0.00000,0.95742
51,transport,49,1.71770,11.80200,2.35618,2.35618,0.00000,0.95820
52,transport,50,1.70036,11.56488,2.33896,2.33896,0.00000,0.95904
