step,primitive,prim_step,e_norm,V,qd_raw_norm,qd_norm,proj_delta,cos_to_goal
3,transport,1,2.30358,21.22599,2.82234,2.82234,0.00000,0.94729
4,transport,2,2.30280,21.21148,2.82154,2.82154,0.00000,0.94728
5,transport,3,2.30104,21.17910,2.82023,2.82023,0.00000,0.94731
6,transport,4,2.29844,21.13136,2.81829,2.81829,0.00000,0.94736
7,transport,5,2.29505,21.06895,2.81574,2.81574,0.00000,0.94742
8,transport,6,2.29088,20.99257,2.81261,2.81261,0.00000,0.94750
9,transport,7,2.28598,20.90288,2.80892,2.80892,0.00000,0.94759
10,transport,8,2.28038,20.80054,2.80469,2.80469,0.00000,0.94770
11,transport,9,2.27410,20.68620,2.79994,2.79994,0.00000,0.94782
12,transport,10,2.26718,20.56050,2.79469,2.79469,0.00000,0.94796
13,transport,11,2.25965,20.42406,2.78897,2.78897,0.00000,0.94811
14,transport,12,2.25153,20.27747,2.78278,2.78278,0.00000,0.94828
15,transport,13,2.24284,20.12132,2.77614,2.77614,0.00000,0.94846
16,transport,14,2.23362,19.95620,2.76907,2.76907,0.00000,0.94866
17,transport,15,2.22388,19.78264,2.76159,2.76159,0.00000,0.94887
18,transport,16,2.21366,19.60117,2.75371,2.75371,0.00000,0.94910
19,transport,17,2.20297,19.41235,2.74544,2.74544,0.00000,0.94935
20,transport,18,2.19184,19.21665,2.73678,2.73678,0.00000,0.94961
21,transport,19,2.18029,19.01458,2.72776,2.72776,0.00000,0.94989
22,transport,20,2.16833,18.80659,2.71837,2.71837,0.00000,0.95019
23,transport,21,2.15599,18.59316,2.70862,2.70862,0.00000,0.95050
24,transport,22,2.14329,18.37472,2.69853,2.69853,0.00000,0.95083
25,transport,23,2.13024,18.15170,2.68809,2.68809,0.00000,0.95118
26,transport,24,2.11687,17.92450,2.67731,2.67731,0.00000,0.95154
27,transport,25,2.10318,17.69351,2.66621,2.66621,0.00000,0.95192
28,transport,26,2.08920,17.45910,2.65480,2.65480,0.00000,0.95231
29,transport,27,2.07495,17.22165,2.64309,2.64309,0.00000,0.95271
30,transport,28,2.06043,16.98151,2.63112,2.63112,0.00000,0.95313
31,transport,29,2.04567,16.73899,2.61892,2.61892,0.00000,0.95355
32,transport,30,2.03067,16.49443,2.60653,2.60653,0.00000,0.95398
33,transport,31,2.01545,16.24812,2.59400,2.59400,0.00000,0.95441
34,transport,32,2.00002,16.00036,2.58140,2.58140,0.00000,0.95483
35,transport,33,1.98440,15.75144,2.56879,2.56879,0.00000,0.95525
36,transport,34,1.96860,15.50160,2.55626,2.55626,0.00000,0.95564
